"time","metric","scenario","group","load_zone","tags","count","min","mean","median","p95","p99","max","stdev"
"2024-02-29T13:14:09+00:00","iteration_duration","default","","amazon:us:columbus","{}",1,1534.479341,1534.479341,1534.479341,1534.479341,1534.479341,1534.479341,""
"2024-02-29T13:14:12+00:00","iteration_duration","default","","amazon:us:columbus","{}",3,1132.99482,1135.076166,1135.076171875,1135.076171875,1135.076171875,1135.076166,0
"2024-02-29T13:14:15+00:00","iteration_duration","default","","amazon:us:columbus","{}",3,1134.186061,1226.234587,1138.68701171875,1375.06544189453,1396.07685791016,1401.329761,151.636868764056
"2024-02-29T13:14:18+00:00","iteration_duration","default","","amazon:us:columbus","{}",6,1133.510093,1135.70951,1135.70947265625,1135.70947265625,1135.70947265625,1135.70951,0
"2024-02-29T13:14:21+00:00","iteration_duration","default","","amazon:us:columbus","{}",6,1134.026106,1182.436464,1138.68701171875,1335.55963134766,1388.05899658203,1401.183784,107.163863320262
"2024-02-29T13:14:24+00:00","iteration_duration","default","","amazon:us:columbus","{}",7,1133.991989,1135.514612,1135.5146484375,1135.5146484375,1135.5146484375,1135.514612,0
"2024-02-29T13:14:27+00:00","iteration_duration","default","","amazon:us:columbus","{}",9,1134.067788,1138.2321,1138.23205566406,1138.23205566406,1138.23205566406,1138.2321,0
"2024-02-29T13:14:30+00:00","iteration_duration","default","","amazon:us:columbus","{}",11,1135.584158,1164.21432736364,1138.68701171875,1274.99133300781,1377.48117675781,1403.103601,79.2983403021528
"2024-02-29T13:14:33+00:00","iteration_duration","default","","amazon:us:columbus","{}",10,1134.234995,1139.0086029,1138.68701171875,1140.45584716797,1141.61363037109,1141.903029,1.01699766611534
"2024-02-29T13:14:36+00:00","iteration_duration","default","","amazon:us:columbus","{}",14,1133.377484,1157.368245,1138.68701171875,1230.22512817383,1366.22461547852,1400.22443,69.8988183483837
"2024-02-29T13:14:39+00:00","iteration_duration","default","","amazon:us:columbus","{}",13,1132.72794,1136.982815,1136.98278808594,1136.98278808594,1136.98278808594,1136.982815,0
"2024-02-29T13:14:42+00:00","iteration_duration","default","","amazon:us:columbus","{}",16,1134.177595,1155.5207380625,1138.68701171875,1210.11798095703,1361.89146728516,1399.834809,65.182457361364
"2024-02-29T13:14:45+00:00","iteration_duration","default","","amazon:us:columbus","{}",15,1133.963567,1137.046097,1137.04614257812,1137.04614257812,1137.04614257812,1137.046097,0
"2024-02-29T13:14:48+00:00","iteration_duration","default","","amazon:us:columbus","{}",19,1135.567233,1154.27168605263,1138.68701171875,1172.39393310547,1356.10124755859,1402.028035,60.0935242504218
"2024-02-29T13:14:51+00:00","iteration_duration","default","","amazon:us:columbus","{}",18,1133.803051,1137.227549,1137.2275390625,1137.2275390625,1137.2275390625,1137.227549,0
"2024-02-29T13:14:54+00:00","iteration_duration","default","","amazon:us:columbus","{}",21,1133.975171,1151.48665971429,1138.68701171875,1146.87902832031,1348.80607910156,1399.287854,56.8064507361169
"2024-02-29T13:14:57+00:00","iteration_duration","default","","amazon:us:columbus","{}",20,1134.102714,1139.3337367,1138.68701171875,1145.15441894531,1145.15441894531,1145.154367,1.99061356109696
"2024-02-29T13:15:00+00:00","iteration_duration","default","","amazon:us:columbus","{}",23,1134.603588,1152.7247936087,1138.68701171875,1146.87902832031,1353.98873779297,1412.404253,56.7255817862141
"2024-02-29T13:15:03+00:00","iteration_duration","default","","amazon:us:columbus","{}",24,1136.08517,1143.47830204167,1146.87902832031,1146.87902832031,1147.11250976562,1147.182249,4.13693165787577
"2024-02-29T13:15:06+00:00","iteration_duration","default","","amazon:us:columbus","{}",25,1135.873167,1152.34596572,1138.68701171875,1155.07104492188,1346.1062109375,1406.433143,53.1884341711433
"2024-02-29T13:15:09+00:00","iteration_duration","default","","amazon:us:columbus","{}",27,1134.650144,1142.02049018519,1138.68701171875,1146.87902832031,1152.86135742188,1154.963235,4.67755429100434
"2024-02-29T13:15:12+00:00","iteration_duration","default","","amazon:us:columbus","{}",27,1134.360181,1153.22523581481,1138.68701171875,1155.07104492188,1342.48959472656,1408.339367,51.3469251511074
"2024-02-29T13:15:15+00:00","iteration_duration","default","","amazon:us:columbus","{}",29,1133.765304,1138.80201855172,1138.68701171875,1139.68764648438,1140.35473632812,1140.354769,0.430085461803839
"2024-02-29T13:15:18+00:00","iteration_duration","default","","amazon:us:columbus","{}",30,1133.092067,1147.3945253,1138.68701171875,1138.68701171875,1324.1572644043,1399.912759,47.6930802685694
"2024-02-29T13:15:21+00:00","iteration_duration","default","","amazon:us:columbus","{}",33,1132.395618,1138.79349387879,1138.68701171875,1139.38984375,1140.44409179688,1140.444149,0.42576746848941
"2024-02-29T13:15:24+00:00","iteration_duration","default","","amazon:us:columbus","{}",31,1133.062443,1147.17190519355,1138.68701171875,1138.68701171875,1322.80948486328,1401.719061,47.2419527586301
"2024-02-29T13:15:27+00:00","iteration_duration","default","","amazon:us:columbus","{}",34,1132.589776,1138.70400570588,1138.68701171875,1138.68701171875,1139.07435546875,1139.265194,0.0991594529378774
"2024-02-29T13:15:30+00:00","iteration_duration","default","","amazon:us:columbus","{}",34,1132.774905,1139.15229247059,1138.68701171875,1141.45548095703,1146.59692382812,1146.596972,1.88915896994787
"2024-02-29T13:15:33+00:00","iteration_duration","default","","amazon:us:columbus","{}",39,1133.27954,1145.31624389744,1138.68701171875,1138.68701171875,1298.98213867187,1397.227512,41.3996148703819
"2024-02-29T13:15:36+00:00","iteration_duration","default","","amazon:us:columbus","{}",36,1133.030934,1139.46756011111,1138.68701171875,1147.31954956055,1148.64111328125,1148.641082,2.63678643044015
"2024-02-29T13:15:39+00:00","iteration_duration","default","","amazon:us:columbus","{}",39,1133.017865,1145.77549848718,1138.68701171875,1146.87902832031,1303.04175537109,1398.754441,41.6153014542859
"2024-02-29T13:15:42+00:00","iteration_duration","default","","amazon:us:columbus","{}",40,1132.187174,1143.0921403,1138.68701171875,1140.32540893555,1238.96345947266,1282.124612,23.1338800927896
"2024-02-29T13:15:45+00:00","iteration_duration","default","","amazon:us:columbus","{}",43,1133.094056,1144.76567493023,1138.68701171875,1138.68701171875,1290.28918457031,1400.070022,39.8605371642157
"2024-02-29T13:15:48+00:00","iteration_duration","default","","amazon:us:columbus","{}",41,1132.437778,1138.7186904878,1138.68701171875,1138.68701171875,1139.33666992188,1139.336655,0.141679874218261
"2024-02-29T13:15:51+00:00","iteration_duration","default","","amazon:us:columbus","{}",44,1132.872846,1144.66816429545,1138.68701171875,1138.68701171875,1288.69463256836,1401.858229,39.6745555549862
"2024-02-29T13:15:54+00:00","iteration_duration","default","","amazon:us:columbus","{}",46,1133.145846,1138.96309147826,1138.68701171875,1138.68701171875,1145.037109375,1145.037104,1.30929346867935
"2024-02-29T13:15:57+00:00","iteration_duration","default","","amazon:us:columbus","{}",47,1131.619141,1144.45756546809,1138.68701171875,1138.68701171875,1284.48858886719,1401.711577,38.3587085391538
"2024-02-29T13:16:00+00:00","iteration_duration","default","","amazon:us:columbus","{}",46,1132.32789,1137.312305,1137.31225585938,1137.31225585938,1137.31225585938,1137.312305,0
"2024-02-29T13:16:03+00:00","iteration_duration","default","","amazon:us:columbus","{}",51,1132.937685,1143.89119939216,1138.68701171875,1138.68701171875,1271.39410400391,1395.909169,36.0136320945513
"2024-02-29T13:16:06+00:00","iteration_duration","default","","amazon:us:columbus","{}",49,1132.798936,1144.03276242857,1138.68701171875,1138.68701171875,1274.89705078125,1400.629359,37.420337
