"time","metric","scenario","group","load_zone","tags","count","min","mean","max","last"
"2024-02-29T13:15:12+00:00","vus","","","amazon:us:columbus","{}",3,11.0,10.6666666666667,10.0,11.0
"2024-02-29T13:15:15+00:00","vus","","","amazon:us:columbus","{}",3,11.0,11.0,11.0,11.0
"2024-02-29T13:15:18+00:00","vus","","","amazon:us:columbus","{}",3,12.0,11.6666666666667,11.0,12.0
"2024-02-29T13:15:21+00:00","vus","","","amazon:us:columbus","{}",3,12.0,12.0,12.0,12.0
"2024-02-29T13:15:24+00:00","vus","","","amazon:us:columbus","{}",3,13.0,12.3333333333333,12.0,13.0
"2024-02-29T13:15:27+00:00","vus","","","amazon:us:columbus","{}",3,13.0,13.0,13.0,13.0
"2024-02-29T13:15:30+00:00","vus","","","amazon:us:columbus","{}",3,14.0,13.3333333333333,13.0,14.0
"2024-02-29T13:15:33+00:00","vus","","","amazon:us:columbus","{}",3,14.0,14.0,14.0,14.0
"2024-02-29T13:15:36+00:00","vus","","","amazon:us:columbus","{}",3,15.0,14.3333333333333,14.0,15.0
"2024-02-29T13:15:39+00:00","vus","","","amazon:us:columbus","{}",3,15.0,15.0,15.0,15.0
"2024-02-29T13:15:42+00:00","vus","","","amazon:us:columbus","{}",3,15.0,15.0,15.0,15.0
"2024-02-29T13:15:45+00:00","vus","","","amazon:us:columbus","{}",3,16.0,16.0,16.0,16.0
"2024-02-29T13:15:48+00:00","vus","","","amazon:us:columbus","{}",3,16.0,16.0,16.0,16.0
"2024-02-29T13:15:51+00:00","vus","","","amazon:us:columbus","{}",3,17.0,17.0,17.0,17.0
"2024-02-29T13:15:54+00:00","vus","","","amazon:us:columbus","{}",3,17.0,17.0,17.0,17.0
"2024-02-29T13:15:57+00:00","vus","","","amazon:us:columbus","{}",3,18.0,18.0,18.0,18.0
"2024-02-29T13:16:00+00:00","vus","","","amazon:us:columbus","{}",3,18.0,18.0,18.0,18.0
"2024-02-29T13:16:03+00:00","vus","","","amazon:us:columbus","{}",3,19.0,19.0,19.0,19.0
"2024-02-29T13:16:06+00:00","vus","","","amazon:us:columbus","{}",3,19.0,19.0,19.0,19.0
"2024-02-29T13:16:09+00:00","vus","","","amazon:us:columbus","{}",3,20.0,19.6666666666667,19.0,20.0
"2024-02-29T13:16:12+00:00","vus","","","amazon:us:columbus","{}",3,20.0,20.0,20.0,20.0
"2024-02-29T13:16:15+00:00","vus","","","amazon:us:columbus","{}",3,21.0,20.6666666666667,20.0,21.0
"2024-02-29T13:16:18+00:00","vus","","","amazon:us:columbus","{}",3,21.0,21.0,21.0,21.0
"2024-02-29T13:16:21+00:00","vus","","","amazon:us:columbus","{}",3,22.0,21.6666666666667,21.0,22.0
"2024-02-29T13:16:24+00:00","vus","","","amazon:us:columbus","{}",3,22.0,22.0,22.0,22.0
"2024-02-29T13:16:27+00:00","vus","","","amazon:us:columbus","{}",3,23.0,22.6666666666667,22.0,23.0
"2024-02-29T13:16:30+00:00","vus","","","amazon:us:columbus","{}",3,23.0,23.0,23.0,23.0
