"time","metric","scenario","group","load_zone","tags","count","min","mean","max","last"
"2024-02-29T14:04:24+00:00","vus","","","amazon:us:columbus","{}",3,24.0,23.3333333333333,23.0,24.0
"2024-02-29T14:04:27+00:00","vus","","","amazon:us:columbus","{}",3,24.0,24.0,24.0,24.0
"2024-02-29T14:04:30+00:00","vus","","","amazon:us:columbus","{}",3,25.0,24.3333333333333,24.0,25.0
"2024-02-29T14:04:33+00:00","vus","","","amazon:us:columbus","{}",3,25.0,25.0,25.0,25.0
"2024-02-29T14:04:36+00:00","vus","","","amazon:us:columbus","{}",3,26.0,25.3333333333333,25.0,26.0
"2024-02-29T14:04:39+00:00","vus","","","amazon:us:columbus","{}",3,26.0,26.0,26.0,26.0
"2024-02-29T14:04:42+00:00","vus","","","amazon:us:columbus","{}",3,27.0,26.3333333333333,26.0,27.0
"2024-02-29T14:04:45+00:00","vus","","","amazon:us:columbus","{}",3,27.0,27.0,27.0,27.0
"2024-02-29T14:04:48+00:00","vus","","","amazon:us:columbus","{}",3,28.0,27.3333333333333,27.0,28.0
"2024-02-29T14:04:51+00:00","vus","","","amazon:us:columbus","{}",3,28.0,28.0,28.0,28.0
"2024-02-29T14:04:54+00:00","vus","","","amazon:us:columbus","{}",3,29.0,28.3333333333333,28.0,29.0
"2024-02-29T14:04:57+00:00","vus","","","amazon:us:columbus","{}",3,29.0,29.0,29.0,29.0
"2024-02-29T14:05:00+00:00","vus","","","amazon:us:columbus","{}",3,30.0,29.3333333333333,29.0,30.0
"2024-02-29T14:05:03+00:00","vus","","","amazon:us:columbus","{}",3,30.0,30.0,30.0,30.0
"2024-02-29T14:05:06+00:00","vus","","","amazon:us:columbus","{}",3,31.0,30.3333333333333,30.0,31.0
"2024-02-29T14:05:09+00:00","vus","","","amazon:us:columbus","{}",3,31.0,31.0,31.0,31.0
"2024-02-29T14:05:12+00:00","vus","","","amazon:us:columbus","{}",3,32.0,31.3333333333333,31.0,32.0
