"time","metric","scenario","group","load_zone","tags","count","min","mean","median","p95","p99","max","stdev"
"2024-02-29T14:02:00+00:00","iteration_duration","default","","amazon:us:columbus","{}",1,1527.363996,1527.363996,1527.363996,1527.363996,1527.363996,1527.363996,""
"2024-02-29T14:02:03+00:00","iteration_duration","default","","amazon:us:columbus","{}",2,1130.266521,1130.313736,1130.31372070312,1130.31372070312,1130.31372070312,1130.313736,0
"2024-02-29T14:02:06+00:00","iteration_duration","default","","amazon:us:columbus","{}",4,1129.97736,1198.7064095,1138.68701171875,1349.71621704102,1379.50857543945,1386.956638,125.559552868664
"2024-02-29T14:02:09+00:00","iteration_duration","default","","amazon:us:columbus","{}",5,1130.268982,1131.873533,1132.79260253906,1132.79260253906,1132.79260253906,1132.792555,1.25842270060871
"2024-02-29T14:02:12+00:00","iteration_duration","default","","amazon:us:columbus","{}",5,1130.690812,1134.29344,1134.29345703125,1134.29345703125,1134.29345703125,1134.29344,0
"2024-02-29T14:02:15+00:00","iteration_duration","default","","amazon:us:columbus","{}",9,1129.77578,1164.10208388889,1138.68701171875,1290.67407226562,1371.73383789062,1391.998755,85.5532242316637
"2024-02-29T14:02:18+00:00","iteration_duration","default","","amazon:us:columbus","{}",8,1129.946333,1134.15721375,1136.3544921875,1136.3544921875,1136.3544921875,1136.354542,3.03260109578997
"2024-02-29T14:02:21+00:00","iteration_duration","default","","amazon:us:columbus","{}",10,1129.741362,1161.0946897,1138.68701171875,1275.44606933594,1364.96108886719,1387.339897,79.5882069722908
"2024-02-29T14:02:24+00:00","iteration_duration","default","","amazon:us:columbus","{}",10,1129.869949,1132.9628696,1133.57983398438,1133.57983398438,1133.57983398438,1133.579837,1.30068148404806
"2024-02-29T14:02:27+00:00","iteration_duration","default","","amazon:us:columbus","{}",14,1130.024719,1152.35308985714,1130.49499511719,1231.04603881836,1356.09416870117,1387.356258,67.8378788461599
"2024-02-29T14:02:30+00:00","iteration_duration","default","","amazon:us:columbus","{}",13,1129.599733,1131.20307576923,1130.49499511719,1132.3359375,1132.3359375,1132.335997,0.932225068291357
"2024-02-29T14:02:33+00:00","iteration_duration","default","","amazon:us:columbus","{}",15,1130.0234,1154.04553673333,1138.68701171875,1212.71563720703,1350.90240478516,1385.449051,64.0800045606435
"2024-02-29T14:02:36+00:00","iteration_duration","default","","amazon:us:columbus","{}",17,1129.527894,1132.11354452941,1132.99633789062,1132.99633789062,1132.99633789062,1132.996387,1.23216368303754
"2024-02-29T14:02:39+00:00","iteration_duration","default","","amazon:us:columbus","{}",17,1129.175313,1150.09759111765,1138.68701171875,1188.95183105469,1349.79925292969,1390.011049,61.9577036320112
"2024-02-29T14:02:42+00:00","iteration_duration","default","","amazon:us:columbus","{}",18,1129.57394,1132.68168,1133.77502441406,1133.77502441406,1133.77502441406,1133.77502,1.59104340166331
"2024-02-29T14:02:45+00:00","iteration_duration","default","","amazon:us:columbus","{}",21,1129.678267,1148.32715133333,1138.68701171875,1138.68701171875,1339.96318359375,1390.282178,55.5658185868483
"2024-02-29T14:02:48+00:00","iteration_duration","default","","amazon:us:columbus","{}",21,1129.698381,1131.605076,1132.43762207031,1132.43762207031,1132.43762207031,1132.437633,0.985094727195556
"2024-02-29T14:02:51+00:00","iteration_duration","default","","amazon:us:columbus","{}",22,1129.539336,1147.79093977273,1138.68701171875,1138.68701171875,1335.74360107422,1388.125675,53.8069334987318
"2024-02-29T14:02:54+00:00","iteration_duration","default","","amazon:us:columbus","{}",24,1129.550739,1133.63328416667,1134.26098632812,1134.26098632812,1134.26098632812,1134.260941,1.43366923678524
"2024-02-29T14:02:57+00:00","iteration_duration","default","","amazon:us:columbus","{}",26,1129.587147,1145.05944030769,1138.68701171875,1138.68701171875,1324.38955688477,1386.290448,49.3650678999375
"2024-02-29T14:03:00+00:00","iteration_duration","default","","amazon:us:columbus","{}",26,1129.165449,1132.397165,1132.39715576172,1134.29931640625,1134.29931640625,1134.29933,1.93983529061461
"2024-02-29T14:03:03+00:00","iteration_duration","default","","amazon:us:columbus","{}",26,1129.154009,1145.43218276923,1138.68701171875,1138.68701171875,1325.51409912109,1387.789752,49.5875896065235
"2024-02-29T14:03:06+00:00","iteration_duration","default","","amazon:us:columbus","{}",30,1129.532313,1133.4961856,1135.49694824219,1135.49694824219,1135.49694824219,1135.496976,2.49234898282124
"2024-02-29T14:03:09+00:00","iteration_duration","default","","amazon:us:columbus","{}",30,1130.065476,1133.8668432,1134.70983886719,1134.70983886719,1134.70983886719,1134.709804,1.71474286038899
"2024-02-29T14:03:12+00:00","iteration_duration","default","","amazon:us:columbus","{}",31,1129.724852,1144.45728316129,1138.68701171875,1142.78302001953,1317.96938476562,1391.293778,46.013114288188
"2024-02-29T14:03:15+00:00","iteration_duration","default","","amazon:us:columbus","{}",32,1129.328968,1131.5696435,1132.13256835938,1132.13256835938,1132.13256835938,1132.132552,0.790214971564598
"2024-02-29T14:03:18+00:00","iteration_duration","default","","amazon:us:columbus","{}",35,1129.959711,1143.23643517143,1138.68701171875,1138.68701171875,1303.25283935547,1388.029231,42.7665819408756
"2024-02-29T14:03:21+00:00","iteration_duration","default","","amazon:us:columbus","{}",34,1129.366685,1135.71779482353,1138.56665039062,1138.56665039062,1138.56665039062,1138.566592,3.91529722151642
"2024-02-29T14:03:24+00:00","iteration_duration","default","","amazon:us:columbus","{}",38,1129.229822,1141.05766857895,1130.49499511719,1138.68701171875,1298.66002319336,1392.612406,42.1088443078362
"2024-02-29T14:03:27+00:00","iteration_duration","default","","amazon:us:columbus","{}",37,1129.693484,1132.10974545946,1132.79284667969,1132.79284667969,1132.79284667969,1132.792907,1.06478850064236
"2024-02-29T14:03:30+00:00","iteration_duration","default","","amazon:us:columbus","{}",39,1129.436198,1141.36970282051,1138.68701171875,1138.68701171875,1294.97749267578,1390.76841,41.1902894589578
"2024-02-29T14:03:33+00:00","iteration_duration","default","","amazon:us:columbus","{}",39,1129.020699,1132.56461169231,1133.85815429688,1133.85815429688,1133.85815429688,1133.858119,1.65756047818
"2024-02-29T14:03:36+00:00","iteration_duration","default","","amazon:us:columbus","{}",43,1129.408585,1141.19355137209,1138.68701171875,1138.68701171875,1281.97349121094,1385.732709,38.3909316650778
"2024-02-29T14:03:39+00:00","iteration_duration","default","","amazon:us:columbus","{}",42,1129.528418,1131.672117,1130.49499511719,1134.0263671875,1134.0263671875,1134.026351,1.68487368175189
"2024-02-29T14:03:42+00:00","iteration_duration","default","","amazon:us:columbus","{}",44,1129.505372,1140.44001861364,1138.68701171875,1138.68701171875,1280.71094482422,1387.851819,38.3851890961937
"2024-02-29T14:03:45+00:00","iteration_duration","default","","amazon:us:columbus","{}",45,1128.946117,1132.67891555556,1134.42602539062,1134.42602539062,1134.42602539062,1134.426048,1.97542594679951
"2024-02-29T14:03:48+00:00","iteration_duration","default","","amazon:us:columbus","{}",46,1129.066582,1139.79823858696,1130.49499511719,1138.68701171875,1274.93574829102,1386.411975,37.3932474057615
"2024-02-29T14:03:51+00:00","iteration_duration","default","","amazon:us:columbus","{}",48,1128.522503,1131.81221379167,1130.49499511719,1133.36889648438,1133.36889648438,1133.368921,1.44711582423537
"2024-02-29T14:03:54+00:00","iteration_duration","default","","amazon:us:columbus","{}",48,1129.174614,1140.95736995833,1138.68701171875,1138.68701171875,1270.25511230469,1386.928758,36.4713239948461
"2024-02-29T14:03:57+00:00","iteration_duration","default","","amazon:us:columbus","{}",52,1129.426212,1140.78018492308,1138.68701171875,1138.68701171875,1260.26072509766,1386.796616,34.9989910883474
"2024-02-29T14:04:00+00:00","iteration_duration","default","","amazon:us:columbus","{}",51,1128.776758,1139.72606733333,1138.68701171875,1138.68701171875,1263.48724365234,1388.287434,35.7367952345772
"2024-02-29T14:04:03+00:00","iteration_duration","default","","amazon:us:columbus","{}",52,1128.821966,1142.08295963462,1138.68701171875,1154.25178833008,1273.87649169922,1389.004901,35.57438695085
"2024-02-29T14:04:06+00:00","iteration_duration","default","","amazon:us:columbus","{}",53,1129.003149,1139.41233522642,1138.68701171875,1138.68701171875,1259.37572265625,1390.121767,35.3380348119412
"2024-02-29T14:04:09+00:00","iteration_duration","default","","amazon:us:columbus","{}",57,1129.460325,1140.0867247193,1138.68701171875,1138.68701171875,1249.48617675781,1390.503309,33.9929256171843
"2024-02-29T14:04:12+00:00","iteration_duration","default","","amazon:us:columbus","{}",56,1129.040315,1139.49693928571,1138.68701171875,1138.68701171875,1251.25748901367,1388.8436,34.1705109524555
"2024-02-29T14:04:15+00:00","iteration_duration","default","","amazon:us:columbus","{}",59,1129.376235,1140.1070961017,1138.68701171875,1138.68701171875,1242.68976806641,1386.31267,32.8375484247058
"2024-02-29T14:04:18+00:00","iteration_duration","default","","amazon:us:columbus","{}",59,1129.424551,1139.86385994915,1138.68701171875,1138.68701171875,1243.54366210937,1388.345737,33.1465307404446
"2024-02-29T14:04:21+00:00","iteration_duration","default","","amazon:us:columbus","{}",62,1129.30943,1139.09355335484,1138.68701171875,1138.68701171875,1234.77921264648,1385.077308,32.0117487385374
"2024-02-29T14:04:24+00:00","iteration_duration","default","","amazon:us:columbus","{}",61,1129.586082,1140.95740078689,1138.68701171875,1138.68701171875,1239.96000976563,1391.869448,32.844694692739
"2024-02-29T14:04:27+00:00","iteration_duration","default","","amazon:us:columbus","{}",62,1129.219488,1140.29723658065,1138.68701171875,1138.68701171875,1238.32525146484,1394.169668,32.9892443053117
"2024-02-29T14:04:30+00:00","iteration_duration","default","","amazon:us:columbus","{}",64,1129.380623,1140.2072256875,1138.68701171875,1138.68701171875,1237.43666381836,1391.629444,32.1803589431364
"2024-02-29T14:04:33+00:00","iteration_duration","default","","amazon:us:columbus","{}",68,1129.180775,1139.08637935294,1138.68701171875,1138.68701171875,1220.6398046875,1387.028796,30.7796067166964
"2024-02-29T14:04:36+00:00","iteration_duration","default","","amazon:us:columbus","{}",66,1129.565487,1139.45016115152,1138.68701171875,1138.68701171875,1227.9960144043,1393.855636,32.0457161452079
"2024-02-29T14:04:39+00:00","iteration_duration","default","","amazon:us:columbus","{}",68,1129.597459,1141.14065526471,1138.68701171875,1152.20383911133,1231.75793701172,1387.455558,30.8157476350691
"2024-02-29T14:04:42+00:00","iteration_duration","default","","amazon:us:columbus","{}",71,1129.519624,1140.86411119718,1138.68701171875,1142.78302001953,1226.01950683594,1391.565895,30.4929977464881
"2024-02-29T14:04:45+00:00","iteration_duration","default","","amazon:us:columbus","{}",71,1129.203144,1138.96766461972,1138.68701171875,1138.68701171875,1213.47797851562,1387.990188,30.2431892881501
"2024-02-29T14:04:48+00:00","iteration_duration","default","","amazon:us:columbus","{}",73,1129.090765,1138.38865260274,1138.68701171875,1138.68701171875,1208.28287109375,1387.24364,29.8115604871107
"2024-02-29T14:04:51+00:00","iteration_duration","default","","amazon:us:columbus","{}",76,1128.449642,1137.13549969737,1130.49499511719,1138.68701171875,1201.36849975586,1389.412977,29.5974032149749
"2024-02-29T14:04:54+00:00","iteration_duration","default","","amazon:us:columbus","{}",73,1128.973963,1139.11470141096,1138.68701171875,1138.68701171875,1209.36076171875,1391.093203,30.1633232172508
"2024-02-29T14:04:57+00:00","iteration_duration","default","","amazon:us:columbus","{}",77,1128.894262,1131.76961709091,1130.49499511719,1134.00024414062,1134.00024414062,1134.000197,1.69721682451996
"2024-02-29T14:05:00+00:00","iteration_duration","default","","amazon:us:columbus","{}",78,1129.124719,1146.21646814103,1138.68701171875,1156.29982910156,1393.94233398437,1398.305515,41.3356528103485
"2024-02-29T14:05:03+00:00","iteration_duration","default","","amazon:us:columbus","{}",78,1130.782922,1140.56418817949,1138.68701171875,1148.10783081055,1164.90898925781,1170.419678,5.82332064758961
"2024-02-29T14:05:06+00:00","iteration_duration","default","","amazon:us:columbus","{}",80,1128.486165,1142.73711835,1138.68701171875,1138.68701171875,1390.8037109375,1390.803734,40.1405463501403
"2024-02-29T14:05:09+00:00","iteration_duration","default","","amazon:us:columbus","{}",84,1129.108054,1135.14205178571,1138.68701171875,1138.68701171875,1145.44714355469,1145.447175,4.3712333256394
"2024-02-29T14:05:12+00:00","iteration_duration","default","","amazon:us:columbus","{}",81,1129.583892,1142.82675553086,1138.68701171875,1138.68701171875,1388.26708984375,1388.267099,39.4547977547437
"2024-02-29T14:05:15+00:00","iteration_duration","default","","amazon:us:columbus","{}",86,1128.950919,1132.04979723256,1130.49499511719,1133.75622558594,1133.75622558594,1133.756282,1.63842984472982
"2024-02-29T14:05:18+00:00","iteration_duration","default","","amazon:us:columbus","{}",85,1128.72007,1141.8874096,1138.68701171875,1138.68701171875,1395.53228027344,1410.721816,40.8208552591589
"2024-02-29T14:05:21+00:00","iteration_duration","default","","amazon:us:columbus","{}",87,1128.267752,1134.40143386207,1136.78869628906,1136.78869628906,1136.78869628906,1136.788699,3.07150316092621
"2024-02-29T14:05:24+00:00","iteration_duration","default","","amazon:us:columbus","{}",88,1129.362727,1141.58593420455,1138.68701171875,1138.68701171875,1389.1201171875,1389.120105,38.1628708590691
"2024-02-29T14:05:27+00:00","iteration_duration","default","","amazon:us:columbus","{}",87,1129.245664,1136.34852742529,1138.68701171875,1138.68701171875,1138.87641845703,1140.039886,3.74134101694361
"2024-02-29T14:05:30+00:00","iteration_duration","default","","amazon:us:columbus","{}",93,1128.693468,1140.37760058065,1138.68701171875,1141.96381835937,1392.76525878906,1394.216854,37.9945151655496
"2024-02-29T14:05:33+00:00","iteration_duration","default","","amazon:us:columbus","{}",95,1128.287188,1132.57355524211,1130.49499511719,1135.19653320312,1135.19653320312,1135.196494,2.34732236535812
