"time","metric","scenario","group","load_zone","tags","count","min","mean","median","p95","p99","max","stdev"
"2024-02-29T13:32:09+00:00","iteration_duration","default","","amazon:us:columbus","{}",3,1134.72248,1288.94492333333,1138.68701171875,1544.38343505859,1580.44533935547,1589.46077,260.254357453122
"2024-02-29T13:32:12+00:00","iteration_duration","default","","amazon:us:columbus","{}",2,1134.752533,1136.206447,1136.20642089844,1136.20642089844,1136.20642089844,1136.206447,0
"2024-02-29T13:32:15+00:00","iteration_duration","default","","amazon:us:columbus","{}",6,1135.784094,1183.53444883333,1138.68701171875,1340.50054931641,1394.31749267578,1407.771693,109.853365907243
"2024-02-29T13:32:18+00:00","iteration_duration","default","","amazon:us:columbus","{}",5,1134.381835,1137.155843,1137.15588378906,1137.15588378906,1137.15588378906,1137.155843,0
"2024-02-29T13:32:21+00:00","iteration_duration","default","","amazon:us:columbus","{}",7,1133.959163,1175.70313571429,1138.68701171875,1320.06605224609,1382.25315185547,1397.79995,97.9354895966162
"2024-02-29T13:32:24+00:00","iteration_duration","default","","amazon:us:columbus","{}",8,1134.466728,1138.876346,1138.68701171875,1139.67161254883,1140.09574829102,1140.201768,0.535551362362113
"2024-02-29T13:32:27+00:00","iteration_duration","default","","amazon:us:columbus","{}",11,1133.600176,1165.71454245455,1138.68701171875,1283.24249267578,1385.77965087891,1411.413967,81.6579293679213
"2024-02-29T13:32:30+00:00","iteration_duration","default","","amazon:us:columbus","{}",10,1133.951194,1138.7057227,1138.68701171875,1138.79000244141,1138.85741455078,1138.874227,0.0592063759480008
"2024-02-29T13:32:33+00:00","iteration_duration","default","","amazon:us:columbus","{}",12,1133.33791,1161.51081525,1138.68701171875,1262.75479736328,1376.05554931641,1404.380783,76.5204528084173
"2024-02-29T13:32:36+00:00","iteration_duration","default","","amazon:us:columbus","{}",13,1133.610128,1138.75924707692,1138.68701171875,1139.0626953125,1139.513515625,1139.626212,0.260490540348481
"2024-02-29T13:32:39+00:00","iteration_duration","default","","amazon:us:columbus","{}",15,1134.049392,1155.86636153333,1138.68701171875,1215.994140625,1360.30078125,1396.377423,66.5353811170763
"2024-02-29T13:32:42+00:00","iteration_duration","default","","amazon:us:columbus","{}",16,1133.170047,1137.5028,1137.50280761719,1137.50280761719,1137.50280761719,1137.5028,0
"2024-02-29T13:32:45+00:00","iteration_duration","default","","amazon:us:columbus","{}",16,1133.284589,1155.2246353125,1138.68701171875,1204.83755493164,1363.59885864258,1403.289165,66.1505412499999
"2024-02-29T13:32:48+00:00","iteration_duration","default","","amazon:us:columbus","{}",19,1132.710258,1138.248192,1138.24816894531,1138.24816894531,1138.24816894531,1138.248192,0
"2024-02-29T13:32:51+00:00","iteration_duration","default","","amazon:us:columbus","{}",20,1132.75729,1151.84691805,1138.68701171875,1151.84692993164,1351.87768676758,1401.885361,58.8529426762529
"2024-02-29T13:32:54+00:00","iteration_duration","default","","amazon:us:columbus","{}",21,1132.788338,1138.71470385714,1138.68701171875,1138.68701171875,1139.15244140625,1139.268781,0.126955022399356
"2024-02-29T13:32:57+00:00","iteration_duration","default","","amazon:us:columbus","{}",22,1133.061233,1150.94626268182,1138.68701171875,1146.46942749023,1347.00159301758,1400.198779,55.6986577365434
"2024-02-29T13:33:00+00:00","iteration_duration","default","","amazon:us:columbus","{}",24,1132.991628,1137.91072,1137.91076660156,1137.91076660156,1137.91076660156,1137.91072,0
"2024-02-29T13:33:03+00:00","iteration_duration","default","","amazon:us:columbus","{}",23,1132.952898,1138.99803665217,1138.68701171875,1138.68701171875,1144.26698242188,1145.840843,1.49167938140127
